base_variable,max_abs_loading,top_category
has_recording_duration,0.2552188489615388,has_recording_duration_False
has_event_metadata,0.2552188489615388,has_event_metadata_False
context_open_field,0.2265864672245858,context_open_field_False
has_brain_region_metadata,0.22106225462378248,has_brain_region_metadata_False
can_do_cross_dataset_comparison,0.22106225462378248,can_do_cross_dataset_comparison_False
has_standardized_format,0.1965797014818654,has_standardized_format_False
has_lfp_metadata,0.19657970148186524,has_lfp_metadata_False
can_do_lfp_analysis,0.19657970148186518,can_do_lfp_analysis_False
has_sorted_unit_metadata,0.18892952621885367,has_sorted_unit_metadata_False
can_do_position_analysis,0.18879688522151783,can_do_position_analysis_False
can_do_spike_position_analysis,0.18879688522151783,can_do_spike_position_analysis_False
has_position_metadata,0.18879688522151783,has_position_metadata_False
recording_profile_group,0.18878957466202573,recording_profile_group_lfp_only
recommended_analysis_type,0.1887895746620257,recommended_analysis_type_LFP-behavior analysis
can_do_spike_analysis,0.18878957466202564,can_do_spike_analysis_False
has_spike_metadata,0.18878957466202564,has_spike_metadata_False
metadata_profile_label,0.18815295505647123,metadata_profile_label_spike+LFP ephys profile
can_do_spike_behavior_analysis,0.1881529550564708,can_do_spike_behavior_analysis_False
has_sampling_rate_metadata,0.15862617476075702,has_sampling_rate_metadata_False
has_trial_metadata,0.15862617476075697,has_trial_metadata_False
context_task,0.14683912162054105,context_task_False
can_do_behavior_analysis,0.11314191205543465,can_do_behavior_analysis_False
can_do_lfp_behavior_analysis,0.1073645277453645,can_do_lfp_behavior_analysis_False
context_object,0.10446101465435882,context_object_False
context_sleep,0.07766572389704125,context_sleep_False
