feature,feature_label,importance,target,cv_balanced_accuracy
log_data_analysis_potential_score,log_data_analysis_potential_score,0.20724768255001857,recommended_analysis_type,0.9980392156862745
log_cross_dataset_reuse_score,log_cross_dataset_reuse_score,0.20481523127745596,recommended_analysis_type,0.9980392156862745
log_n_lfp_channels,log_n_lfp_channels,0.09907451800478255,recommended_analysis_type,0.9980392156862745
log_recording_duration_s,log_recording_duration_s,0.08911550127244929,recommended_analysis_type,0.9980392156862745
log_events_per_trial,log_events_per_trial,0.06531242403581182,recommended_analysis_type,0.9980392156862745
log_n_event_times_total,log_n_event_times_total,0.06271166529668042,recommended_analysis_type,0.9980392156862745
log_n_trials,log_n_trials,0.05353100820676955,recommended_analysis_type,0.9980392156862745
log_best_behavior_count,log_best_behavior_count,0.04121055883054012,recommended_analysis_type,0.9980392156862745
log_best_spike_count,log_best_spike_count,0.03954400077867957,recommended_analysis_type,0.9980392156862745
log_spikes_per_unit,log_spikes_per_unit,0.03742435965301085,recommended_analysis_type,0.9980392156862745
log_units_per_minute,log_units_per_minute,0.02777295369769218,recommended_analysis_type,0.9980392156862745
log_spikes_per_minute,log_spikes_per_minute,0.02704470080915276,recommended_analysis_type,0.9980392156862745
log_best_unit_count,log_best_unit_count,0.017773917636132168,recommended_analysis_type,0.9980392156862745
log_lfp_channels_per_unit,log_lfp_channels_per_unit,0.015339950097114502,recommended_analysis_type,0.9980392156862745
log_n_position_samples,log_n_position_samples,0.010497433424806638,recommended_analysis_type,0.9980392156862745
log_n_electrodes,log_n_electrodes,0.000837030372984026,recommended_analysis_type,0.9980392156862745
log_electrodes_per_unit,log_electrodes_per_unit,0.0007470640559190816,recommended_analysis_type,0.9980392156862745
